#Name, MutualInfo
('Solar Zenith Angle', 1.4655434522665356)
('Temperature', 0.2914071505721596)
('Hour6', 0.14369239137299417)
('Relative Humidity', 0.11232126635673723)
('Hour17', 0.10749132936328731)
('Pressure', 0.095093330298355205)
('Hour7', 0.08365618384202822)
('Hour12', 0.065492197871582558)
('Hour8', 0.063619284359369477)
('Hour16', 0.056727465614471839)
('Hour11', 0.056659596489149422)
('Precipitable Water', 0.048528105804799715)
('Hour10', 0.04744282912363218)
('Hour15', 0.046874657822820964)
('Hour9', 0.044400761848085502)
('Hour13', 0.043546548191883527)
('Hour14', 0.032311113456048091)
('Dew Point', 0.030093886209363596)
('Month12', 0.023266555799061894)
('Month5', 0.021538003342343348)
('Month4', 0.02023047327876748)
('Month1', 0.020038844030960234)
('Wind Speed', 0.016894758302211876)
('Month11', 0.016275423026198776)
('Month2', 0.013374325038330248)
('Month3', 0.01156467033340558)
('Month7', 0.010416227224904429)
('Month6', 0.0083335401696778)
('City1', 0.0080828869687255001)
('Month10', 0.0078961218952229295)
('City3', 0.0075077964704393096)
('Month8', 0.0065303976842838729)
('City4', 0.0064552492231246816)
('City0', 0.0056527362464335873)
('City2', 0.0055340117525779497)
('Day23', 0.0051897946390240257)
('Day31', 0.0049283585670036878)
('Day15', 0.004328765496298459)
('Day25', 0.0040713539710894864)
('Day9', 0.0037452442798682206)
('Month9', 0.0037301353167946694)
('Day30', 0.0026327024902887963)
('Day1', 0.0026154331300625167)
('Day19', 0.0022664673623848941)
('Day8', 0.0020540017220049833)
('Day14', 0.0018646738178502709)
('Day7', 0.0016288769261461056)
('Day20', 0.0016273071638863712)
('Day12', 0.0013178806071945104)
('Day13', 0.00093992059055469923)
('Day29', 0.00089071647562644074)
('Day5', 0.00047081440615226455)
('Day2', 0.00014543927026355874)
('Day16', 4.6455412091361836e-05)
('Day27', 0.0)
('Day11', 0.0)
('Day10', 0.0)
('Day28', 0.0)
('Day4', 0.0)
('Day26', 0.0)
('Day3', 0.0)
('Day6', 0.0)
('Day22', 0.0)
('Day21', 0.0)
('Day18', 0.0)
('Day17', 0.0)
('Day24', 0.0)
